id_contrato,id_alma,fecha_firma,valor_en_almas,clausulas,cumplido,demonio_firmante
1,5343,1957-04-03,421.0,Cesión de alma secundaria,N,277
2,1466,1986-06-30,40.0,Cláusula 66A,N,248
3,6675,2007-10-11,469.0,Renovación automática,S,458
4,8877,2009-09-13,96.0,Renovación automática,N,91
5,5321,1972-08-05,460.0,Cláusula 66A,S,422
6,9648,1955-10-20,925.0,Renovación automática,N,352
7,8594,2018-01-06,579.0,Renovación automática,S,471
8,6983,1967-08-18,933.0,Renovación automática,S,376
9,3783,1938-02-02,987.0,Cesión de alma secundaria,N,370
10,4499,1972-11-04,79.0,Cesión de alma secundaria,S,264
11,1253,2000-03-12,13.0,Anexo 13,S,244
12,9186,2019-01-10,832.0,Anexo 13,N,399
13,1961,1931-03-21,254.0,Contrato eterno,S,480
14,2672,2019-06-03,479.0,Renovación automática,N,103
15,6360,1951-01-30,628.0,Cesión de alma secundaria,N,279
16,9746,1982-09-15,679.0,Contrato eterno,N,40
17,2240,1940-08-04,357.0,Cesión de alma secundaria,S,164
18,868,2003-10-01,955.0,Cláusula 66A,N,479
19,9371,1999-04-12,557.0,Renovación automática,S,281
20,3373,3000-13-40,234.0,Renovación automática,N,78
21,4612,2011-09-29,785.0,Contrato eterno,S,87
22,7829,2011-03-09,944.0,Anexo 13,S,480
23,9056,1983-05-07,18.0,Cláusula 66A,N,79
24,3015,2024-02-11,534.0,Contrato eterno,S,229
25,2463,3000-13-40,648.0,Renovación automática,N,28
26,5729,2023-03-14,179.0,Cláusula 66A,N,61
27,2721,1949-02-26,104.0,Cesión de alma secundaria,S,468
28,1413,1950-07-21,854.0,Renovación automática,N,122
29,79,1987-06-06,369.0,Contrato eterno,S,245
30,3511,1997-11-12,76.0,Renovación automática,N,446
31,6268,1968-03-10,653.0,Cesión de alma secundaria,S,160
32,1923,1964-08-22,227.0,Contrato eterno,N,357
33,4891,2021-11-25,52.0,Cláusula 66A,S,191
34,9845,1935-06-05,38.0,Contrato eterno,S,308
35,7552,2023-10-05,67.0,Anexo 13,S,464
36,3871,1989-09-03,984.0,Cláusula 66A,N,470
37,6131,2008-09-16,599.0,Cláusula 66A,S,408
38,7167,1957-06-13,574.0,Contrato eterno,S,173
39,6840,2002-10-06,864.0,Contrato eterno,N,123
40,7921,1975-02-10,581.0,Anexo 13,S,317
41,3193,1946-05-09,620.0,Cláusula 66A,S,405
42,528,2022-12-20,94.0,Anexo 13,S,85
43,8649,1991-10-24,808.0,Anexo 13,N,403
44,4930,2007-11-12,788.0,Contrato eterno,S,7
45,2689,1934-05-13,582.0,Cláusula 66A,S,156
46,3277,2021-10-07,581.0,Cesión de alma secundaria,N,27
47,709,1982-04-02,620.0,Contrato eterno,S,209
48,2967,1994-08-29,109.0,Cláusula 66A,N,263
49,5972,1973-03-25,716.0,Anexo 13,N,305
50,9540,2012-11-01,872.0,Anexo 13,N,3
51,4816,2011-11-20,401.0,Renovación automática,N,488
52,868,1954-02-04,990.0,Cláusula 66A,S,123
53,804,2020-10-21,846.0,Cesión de alma secundaria,S,285
54,5101,2008-04-09,35.0,Contrato eterno,S,281
55,5122,1969-05-16,416.0,Cesión de alma secundaria,S,179
56,967,2012-06-22,533.0,Renovación automática,S,58
57,772,1963-04-25,659.0,Contrato eterno,N,225
58,3162,2008-02-17,432.0,Cláusula 66A,S,338
59,9673,1943-06-02,679.0,Anexo 13,N,274
60,4771,2008-12-02,309.0,Cláusula 66A,N,67
61,9903,1978-02-05,62.0,Cesión de alma secundaria,S,420
62,8793,1978-05-11,299.0,Anexo 13,N,28
63,9138,2010-10-19,578.0,Contrato eterno,S,500
64,5095,1960-03-27,432.0,Renovación automática,S,256
65,9258,1986-12-12,421.0,Cesión de alma secundaria,S,322
66,8011,2016-10-26,482.0,Cesión de alma secundaria,S,108
67,9785,1990-02-14,132.0,Cláusula 66A,S,180
68,67,2022-11-18,897.0,Renovación automática,N,134
69,682,1931-04-12,317.0,Renovación automática,S,283
70,1012,1972-10-22,749.0,Renovación automática,N,257
71,3624,2001-02-08,782.0,Cesión de alma secundaria,N,497
72,4940,1970-08-18,906.0,Cláusula 66A,N,268
73,8558,1955-07-13,551.0,Cesión de alma secundaria,N,26
74,8445,1968-05-30,877.0,Contrato eterno,N,9
75,9533,1959-12-05,902.0,Anexo 13,S,61
76,8761,1948-06-19,786.0,Cesión de alma secundaria,S,216
77,2659,1965-04-17,976.0,Cesión de alma secundaria,S,62
78,6432,2024-01-19,275.0,Contrato eterno,N,101
79,4,2005-01-07,595.0,Cláusula 66A,N,467
80,3922,1996-01-27,68.0,Anexo 13,N,212
81,8989,1931-08-18,478.0,Cesión de alma secundaria,S,300
82,934,1935-08-19,439.0,Cesión de alma secundaria,S,130
83,8445,1959-10-22,438.0,Cesión de alma secundaria,S,44
84,8355,2016-08-06,329.0,Anexo 13,S,77
85,573,1962-04-25,987.0,Cláusula 66A,N,101
86,549,2005-12-16,755.0,Renovación automática,S,220
87,4010,2005-10-28,573.0,Contrato eterno,S,170
88,2720,2004-07-31,307.0,Renovación automática,S,390
89,7342,1963-11-28,899.0,Cláusula 66A,N,345
90,4355,3000-13-40,465.0,Contrato eterno,N,188
91,749,1962-04-19,600.0,Anexo 13,N,294
92,1216,1988-12-22,731.0,Cláusula 66A,S,91
93,291,2014-05-16,28.0,Contrato eterno,N,308
94,8690,1941-10-11,950.0,Anexo 13,S,57
95,4316,1936-04-23,719.0,Cláusula 66A,N,288
96,3756,1945-08-01,294.0,Renovación automática,N,214
97,9590,1969-09-12,451.0,Anexo 13,N,104
98,4177,1962-05-31,507.0,Renovación automática,N,307
99,3759,1983-12-23,882.0,Anexo 13,N,225
100,2723,1974-10-29,129.0,Cláusula 66A,S,174
101,6170,1993-04-23,111.0,Contrato eterno,S,31
102,6739,1971-02-10,328.0,Renovación automática,S,67
103,5389,1985-11-03,229.0,Anexo 13,S,76
104,8084,1929-03-27,791.0,Cláusula 66A,N,284
105,7293,1969-03-17,556.0,Contrato eterno,N,232
106,4599,1978-05-01,921.0,Contrato eterno,N,354
107,2527,1948-07-15,953.0,Renovación automática,N,416
108,2109,1937-12-31,,Cláusula 66A,S,55
109,7931,2022-05-02,415.0,Cláusula 66A,N,487
110,9661,1927-12-02,377.0,Cesión de alma secundaria,N,36
111,8236,1999-04-18,446.0,Cesión de alma secundaria,N,168
112,862,1978-01-18,294.0,Anexo 13,N,415
113,8276,1974-06-19,203.0,Cláusula 66A,N,129
114,795,2002-01-19,838.0,Renovación automática,S,195
115,6687,1947-05-06,122.0,Contrato eterno,S,9999
116,8107,1949-06-30,371.0,Anexo 13,N,376
117,5806,1954-08-24,882.0,Cesión de alma secundaria,S,239
118,2210,2008-06-03,32.0,Renovación automática,S,425
119,5362,1983-10-30,210.0,Anexo 13,N,368
120,9088,1935-12-28,485.0,Cláusula 66A,N,113
121,4902,1960-05-21,241.0,Contrato eterno,N,163
122,6404,1986-08-30,930.0,Cesión de alma secundaria,N,398
123,646,1985-07-01,669.0,Cesión de alma secundaria,S,395
124,5828,2020-09-17,624.0,Cesión de alma secundaria,N,307
125,8264,2006-02-10,309.0,Contrato eterno,N,390
126,2409,1989-02-05,281.0,Renovación automática,S,424
127,6770,1963-09-27,67.0,Cláusula 66A,S,356
128,8328,2025-09-14,283.0,Renovación automática,S,7
129,4284,1929-02-01,149.0,Renovación automática,N,228
130,837,1953-03-24,760.0,Renovación automática,S,147
131,9674,2022-10-26,959.0,Contrato eterno,S,124
132,8162,1935-09-11,121.0,Anexo 13,N,366
133,5198,3000-13-40,468.0,Renovación automática,N,498
134,2524,1975-09-01,569.0,Cesión de alma secundaria,S,468
135,3867,1967-01-26,76.0,Cesión de alma secundaria,N,393
136,5179,1982-08-18,356.0,Renovación automática,S,10
137,6341,1971-02-15,360.0,Anexo 13,S,87
138,2576,1942-10-30,820.0,Cláusula 66A,S,409
139,2166,1945-11-24,317.0,Contrato eterno,N,138
140,8737,1949-07-18,472.0,Anexo 13,N,424
141,1860,2003-09-14,664.0,Cláusula 66A,N,9999
142,4708,2009-07-30,665.0,Contrato eterno,N,117
143,7707,1990-06-05,296.0,Cláusula 66A,N,217
144,4032,1982-11-02,140.0,Anexo 13,N,280
145,47,1941-04-15,390.0,Renovación automática,S,319
146,5380,2012-04-02,226.0,Contrato eterno,S,64
147,6458,1942-06-11,22.0,Contrato eterno,N,5
148,3714,1929-09-04,901.0,Contrato eterno,S,336
149,6779,1988-04-18,279.0,Contrato eterno,S,123
150,4160,1967-04-07,411.0,Contrato eterno,S,262
151,4967,1971-11-03,243.0,Cláusula 66A,N,207
152,7787,1955-01-16,732.0,Contrato eterno,N,58
153,5158,2006-09-28,500.0,Contrato eterno,N,200
154,2587,1939-12-06,274.0,Contrato eterno,S,277
155,1114,2013-12-24,32.0,Anexo 13,N,341
156,9510,1946-02-14,357.0,Cláusula 66A,N,56
157,4059,1972-09-17,271.0,Cláusula 66A,S,318
158,6155,2022-05-19,987.0,Cláusula 66A,N,344
159,4559,2025-06-05,767.0,Cesión de alma secundaria,N,402
160,5557,1946-04-15,286.0,Cláusula 66A,S,81
161,554,1960-06-18,166.0,Cláusula 66A,N,87
162,7,2011-02-19,493.0,Cláusula 66A,S,352
163,6216,1929-05-21,908.0,Anexo 13,S,392
164,345,2021-11-07,253.0,Renovación automática,N,195
165,5631,2014-07-19,143.0,Contrato eterno,N,293
166,2823,2005-01-31,303.0,Cláusula 66A,S,349
167,1926,1936-10-22,98.0,Cesión de alma secundaria,S,287
168,1353,3000-13-40,244.0,Cláusula 66A,S,403
169,3183,1963-09-21,648.0,Anexo 13,S,484
170,7917,1985-06-24,815.0,Contrato eterno,S,233
171,8178,1949-04-18,489.0,Cesión de alma secundaria,S,268
172,810,1943-08-17,889.0,Cláusula 66A,S,108
173,2529,1989-11-07,766.0,Contrato eterno,N,155
174,8379,1945-11-04,39.0,Cesión de alma secundaria,S,284
175,3067,1986-06-01,369.0,Renovación automática,N,464
176,7702,1983-04-17,193.0,Renovación automática,N,32
177,8256,2025-06-30,64.0,Contrato eterno,N,259
178,8019,1939-05-13,221.0,Renovación automática,S,472
179,1920,2019-01-28,514.0,Contrato eterno,N,9999
180,5320,2021-09-27,727.0,Contrato eterno,S,305
181,15,2020-09-02,453.0,Contrato eterno,N,304
182,2115,1953-01-12,575.0,Renovación automática,S,433
183,5982,2003-05-03,421.0,Anexo 13,N,26
184,4870,1994-06-09,490.0,Renovación automática,N,231
185,3569,1941-09-04,740.0,Cláusula 66A,N,494
186,420,2021-05-27,820.0,Anexo 13,S,379
187,2747,1979-02-14,64.0,Anexo 13,N,17
188,1373,2015-09-30,469.0,Renovación automática,N,290
189,9787,1927-09-06,956.0,Cesión de alma secundaria,S,265
190,7213,2005-01-27,57.0,Contrato eterno,S,423
191,5246,1994-06-15,259.0,Cláusula 66A,N,124
192,2610,2001-05-12,873.0,Cláusula 66A,N,65
193,5149,1992-03-21,796.0,Contrato eterno,S,428
194,1642,1974-01-09,296.0,Cláusula 66A,N,48
195,2373,1974-07-27,615.0,Anexo 13,S,63
196,3974,1976-09-11,105.0,Cesión de alma secundaria,N,177
197,6356,1964-06-18,530.0,Contrato eterno,S,124
198,6829,2018-10-01,808.0,Renovación automática,N,173
199,1003,1990-02-28,342.0,Cláusula 66A,S,7
200,8623,1965-07-14,,Contrato eterno,N,187
201,6005,2003-07-05,377.0,Contrato eterno,N,460
202,2883,2016-07-17,702.0,Cláusula 66A,N,106
203,9265,3000-13-40,37.0,Contrato eterno,S,361
204,9100,1973-06-27,209.0,Cláusula 66A,S,294
205,7469,1975-07-04,757.0,Anexo 13,N,413
206,6778,3000-13-40,112.0,Contrato eterno,S,436
207,5393,1926-12-08,184.0,Renovación automática,N,405
208,2720,1986-05-25,651.0,Anexo 13,N,375
209,2519,1959-02-05,43.0,Anexo 13,S,374
210,3062,1946-12-30,579.0,Anexo 13,S,277
211,3438,1967-09-21,240.0,Contrato eterno,N,431
212,4347,1934-02-03,940.0,Contrato eterno,N,437
213,7993,2018-04-16,284.0,Renovación automática,S,410
214,8459,2020-07-21,82.0,Cesión de alma secundaria,S,163
215,4428,2016-10-22,631.0,Cláusula 66A,S,295
216,5702,1973-09-02,422.0,Renovación automática,S,196
217,1496,1983-10-04,358.0,Anexo 13,S,19
218,8496,1928-11-12,719.0,Anexo 13,N,494
219,6333,1926-05-03,639.0,Anexo 13,S,116
220,1929,1980-12-02,149.0,Cláusula 66A,S,411
221,1251,2013-01-17,241.0,Contrato eterno,S,468
222,5480,1927-11-28,928.0,Cesión de alma secundaria,S,434
223,364,1974-05-06,491.0,Cláusula 66A,S,235
224,4922,1942-07-17,295.0,Contrato eterno,N,363
225,5141,1929-09-07,875.0,Cláusula 66A,N,163
226,3228,2011-12-31,470.0,Renovación automática,S,493
227,586,1964-12-27,216.0,Cesión de alma secundaria,S,93
228,6898,2005-11-21,,Anexo 13,N,383
229,2168,1949-12-15,480.0,Cláusula 66A,S,2
230,7106,1943-08-21,708.0,Cláusula 66A,S,157
231,9561,1956-02-12,,Cláusula 66A,S,123
232,3000,1950-05-29,707.0,Anexo 13,S,407
233,9672,2016-09-07,842.0,Cesión de alma secundaria,N,378
234,3236,1937-02-03,679.0,Anexo 13,S,466
235,4881,2021-06-19,813.0,Anexo 13,S,148
236,8802,1941-03-25,489.0,Contrato eterno,N,11
237,9044,1927-04-21,31.0,Cláusula 66A,N,426
238,3494,1980-09-01,994.0,Cesión de alma secundaria,N,221
239,5050,1982-07-18,925.0,Renovación automática,S,78
240,7523,1957-08-07,529.0,Cláusula 66A,S,30
241,2043,1976-04-13,861.0,Contrato eterno,N,171
242,2399,1928-05-10,20.0,Renovación automática,N,303
243,7241,1988-05-23,206.0,Anexo 13,N,277
244,7978,2003-12-31,752.0,Anexo 13,N,473
245,7773,1992-01-10,,Renovación automática,N,143
246,5208,1959-11-25,198.0,Contrato eterno,S,9
247,4004,1951-05-13,859.0,Anexo 13,N,11
248,8820,1963-11-02,252.0,Cláusula 66A,S,149
249,8834,1978-01-20,942.0,Cláusula 66A,S,331
250,5302,2009-05-29,833.0,Anexo 13,N,233
251,8969,1972-12-09,431.0,Cesión de alma secundaria,S,301
252,1752,2005-03-22,590.0,Cesión de alma secundaria,N,178
253,9975,1989-11-23,442.0,Cláusula 66A,S,298
254,8131,1991-02-20,14.0,Anexo 13,N,33
255,3451,2007-01-22,729.0,Renovación automática,S,482
256,2102,1974-08-08,906.0,Anexo 13,S,260
257,4610,1951-09-28,720.0,Anexo 13,N,221
258,2087,1972-02-28,100.0,Contrato eterno,N,450
259,8100,1971-04-08,452.0,Cláusula 66A,S,367
260,7696,1950-11-02,780.0,Anexo 13,S,271
261,1688,1937-10-22,817.0,Contrato eterno,N,281
262,6261,1999-05-23,560.0,Cláusula 66A,N,107
263,575,1963-10-21,770.0,Cláusula 66A,N,197
264,8295,3000-13-40,863.0,Cesión de alma secundaria,N,338
265,8148,1995-10-06,463.0,Cesión de alma secundaria,S,135
266,2954,1986-07-15,761.0,Renovación automática,N,249
267,8675,1990-06-14,,Cláusula 66A,N,292
268,5913,1965-11-27,116.0,Cláusula 66A,S,336
269,6729,1992-12-04,190.0,Cesión de alma secundaria,N,9999
270,7421,2000-04-07,417.0,Anexo 13,S,288
271,6091,1953-02-06,586.0,Contrato eterno,N,170
272,1548,1970-03-27,835.0,Anexo 13,N,327
273,5505,1938-08-11,623.0,Cesión de alma secundaria,N,386
274,6326,1955-04-10,353.0,Anexo 13,N,266
275,5517,1941-08-11,26.0,Contrato eterno,S,486
276,8120,2020-09-13,401.0,Contrato eterno,N,269
277,1445,1926-11-30,38.0,Cláusula 66A,N,136
278,3529,2001-07-15,654.0,Cláusula 66A,S,456
279,8727,1949-06-22,503.0,Contrato eterno,S,207
280,6049,1933-11-01,899.0,Renovación automática,N,288
281,1637,1968-08-29,187.0,Renovación automática,S,498
282,9979,1948-08-14,881.0,Cláusula 66A,S,343
283,6015,1936-05-12,831.0,Renovación automática,N,226
284,6817,2025-09-27,151.0,Anexo 13,N,86
285,9270,1934-06-03,18.0,Anexo 13,N,364
286,8949,1936-12-27,341.0,Cláusula 66A,S,450
287,3970,2009-02-25,178.0,Renovación automática,S,385
288,4516,2013-01-29,254.0,Cláusula 66A,N,247
289,5278,1955-01-20,399.0,Cesión de alma secundaria,S,470
290,3289,1962-01-14,701.0,Contrato eterno,S,53
291,508,1952-08-09,949.0,Contrato eterno,S,109
292,9039,1990-07-17,363.0,Cesión de alma secundaria,N,293
293,2905,1973-02-03,456.0,Cesión de alma secundaria,N,220
294,9500,1944-01-18,340.0,Cesión de alma secundaria,S,106
295,6141,1932-06-06,98.0,Cesión de alma secundaria,N,176
296,4645,3000-13-40,860.0,Contrato eterno,N,112
297,2832,3000-13-40,519.0,Cesión de alma secundaria,N,399
298,181,1988-02-05,405.0,Contrato eterno,S,130
299,5437,2004-02-15,320.0,Contrato eterno,S,5
300,4464,2003-09-02,185.0,Contrato eterno,S,153
301,623,2017-09-01,401.0,Renovación automática,S,217
302,1994,3000-13-40,820.0,Cláusula 66A,N,272
303,4640,1977-10-19,38.0,Renovación automática,S,474
304,2842,1940-08-22,982.0,Anexo 13,N,98
305,5182,1969-07-18,233.0,Contrato eterno,N,187
306,7985,1974-02-22,169.0,Anexo 13,S,415
307,7604,2006-10-25,794.0,Cláusula 66A,N,83
308,3202,1981-09-22,779.0,Anexo 13,S,120
309,2511,2023-09-26,60.0,Anexo 13,S,6
310,4149,1978-10-31,861.0,Cláusula 66A,N,158
311,9487,3000-13-40,776.0,Anexo 13,S,11
312,9347,1991-05-29,178.0,Anexo 13,S,366
313,3836,1956-05-18,407.0,Cesión de alma secundaria,N,29
314,5623,3000-13-40,736.0,Anexo 13,N,297
315,2411,1939-09-02,946.0,Cláusula 66A,N,499
316,3902,1958-04-11,261.0,Renovación automática,N,157
317,7520,2003-05-08,412.0,Renovación automática,S,303
318,8845,1991-05-27,141.0,Cesión de alma secundaria,S,280
319,241,2022-11-21,,Contrato eterno,N,59
320,6947,1998-11-04,880.0,Contrato eterno,S,449
321,7471,1988-11-18,963.0,Anexo 13,N,77
322,1118,1988-07-16,381.0,Cláusula 66A,N,437
323,8150,1969-03-19,188.0,Anexo 13,N,157
324,4882,2011-10-12,699.0,Anexo 13,S,346
325,1369,1984-09-28,248.0,Renovación automática,S,490
326,4697,1952-09-13,989.0,Cláusula 66A,N,221
327,660,1960-12-11,652.0,Cláusula 66A,N,30
328,9442,1985-11-17,309.0,Cláusula 66A,N,78
329,8352,2025-08-21,788.0,Cláusula 66A,S,115
330,1937,1951-07-03,996.0,Contrato eterno,N,98
331,1083,1943-06-30,925.0,Contrato eterno,N,64
332,8506,1997-05-09,558.0,Cláusula 66A,S,272
333,2484,2003-10-21,711.0,Contrato eterno,N,26
334,1901,2009-02-08,,Cesión de alma secundaria,N,376
335,4158,1976-02-12,658.0,Cláusula 66A,S,331
336,5936,2022-02-15,666.0,Anexo 13,S,84
337,5195,2007-01-10,392.0,Contrato eterno,N,464
338,2507,1972-01-01,923.0,Cláusula 66A,S,399
339,6976,1990-02-18,360.0,Cesión de alma secundaria,N,199
340,5874,1940-07-28,652.0,Cláusula 66A,S,36
341,8355,1958-04-01,84.0,Cesión de alma secundaria,S,360
342,7364,1994-01-27,311.0,Renovación automática,N,11
343,7906,2007-01-24,11.0,Cláusula 66A,S,454
344,2209,1941-05-22,392.0,Cláusula 66A,S,90
345,2577,1988-01-12,,Cláusula 66A,S,424
346,9583,1969-07-14,671.0,Contrato eterno,S,8
347,8477,2025-10-26,919.0,Renovación automática,S,113
348,5028,1962-01-05,437.0,Anexo 13,S,153
349,8868,2022-10-10,633.0,Anexo 13,N,438
350,2447,1930-03-27,717.0,Contrato eterno,N,220
351,5899,1982-09-30,444.0,Cláusula 66A,S,201
352,9441,2004-12-15,119.0,Anexo 13,N,299
353,7803,1976-01-21,,Renovación automática,N,236
354,3045,1953-05-30,466.0,Anexo 13,S,143
