id_demonio,nombre_demonio,rango,especialidad,nivel_ira,siglo_servicio,activo
1,Scott Devoraalmas,Analista Infernal,Castigos psicológicos,58,18,S
2,Elaine el Cruel,Verdugo,Contratos,40,20,S
3,James Incontable,Analista Infernal,Recaudación,38,16,S
4,Kimberly el Cruel,Archidemonio,Fuego,72,20,S
5,Elizabeth Incontable,Íncubo,Castigos psicológicos,42,19,S
6,Belinda la Sombra,Súcubo,Almas corruptas,75,17,N
7,David Incontable,Archidemonio,Castigos psicológicos,58,17,N
8,Adam el Cruel,Súcubo,Castigos psicológicos,66,15,S
9,Amy Incontable,Analista Infernal,Castigos psicológicos,82,14,S
10,Jeremy Incontable,Íncubo,,98,13,S
11,Glenn el Cruel,Archidemonio,Recaudación,10,18,N
12,Jerry el Cruel,Íncubo,Fuego,43,20,N
13,Nicole Incontable,Verdugo,Contratos,60,13,S
14,Derrick Devoraalmas,Verdugo,Contratos,42,13,N
15,Matthew Eterno,Verdugo,Contratos,66,14,S
16,Kimberly la Sombra,Súcubo,Fuego,81,15,S
17,Kyle Incontable,Súcubo,Almas corruptas,55,20,N
18,Jason Eterno,Verdugo,Recaudación,40,19,N
19,Alexandra el Cruel,Súcubo,Castigos psicológicos,92,14,S
20,James Eterno,Archidemonio,Contratos,21,12,N
21,Amy la Sombra,Súcubo,Contratos,1,20,N
22,Jeremy Eterno,Analista Infernal,Castigos psicológicos,95,15,N
23,Michelle la Sombra,Archidemonio,Almas corruptas,63,14,N
24,Stacy el Cruel,Analista Infernal,Almas corruptas,11,15,S
25,Kathleen Eterno,Súcubo,Almas corruptas,83,15,N
26,Sean Incontable,Analista Infernal,Fuego,75,14,N
27,Jose Eterno,Súcubo,Contratos,17,21,N
28,Andrew Incontable,Archidemonio,Castigos psicológicos,79,19,N
29,Daniel Incontable,Súcubo,Almas corruptas,66,17,S
30,Jacob el Cruel,Íncubo,Castigos psicológicos,53,19,N
31,Gary el Cruel,Analista Infernal,Recaudación,18,17,S
32,Joshua la Sombra,Verdugo,Recaudación,70,21,N
33,John Devoraalmas,Analista Infernal,Almas corruptas,54,13,N
34,Jason Incontable,Íncubo,Contratos,42,16,S
35,Joseph Devoraalmas,Analista Infernal,Recaudación,4,15,N
36,Dakota el Cruel,Archidemonio,Contratos,19,16,N
37,Alexandra Incontable,Analista Infernal,Almas corruptas,97,14,N
38,Amber Devoraalmas,Verdugo,Almas corruptas,72,20,N
39,Shawn Eterno,Analista Infernal,Contratos,17,21,N
40,Jennifer Devoraalmas,Analista Infernal,Fuego,50,16,S
41,Aaron Devoraalmas,Archidemonio,Contratos,66,19,S
42,Robert el Cruel,Súcubo,Recaudación,46,21,S
43,Garrett Incontable,Verdugo,Castigos psicológicos,79,12,S
44,Natasha Devoraalmas,Súcubo,Recaudación,85,14,S
45,Meredith la Sombra,Analista Infernal,Recaudación,96,13,S
46,Kyle la Sombra,Archidemonio,Almas corruptas,32,12,N
47,Tiffany Devoraalmas,Analista Infernal,Fuego,76,17,N
48,Paul Eterno,Íncubo,Castigos psicológicos,40,13,S
49,Daniel la Sombra,Verdugo,Contratos,100,21,N
50,David Devoraalmas,Archidemonio,Recaudación,92,15,S
51,Robert Incontable,Verdugo,Castigos psicológicos,62,21,N
52,Andrea Eterno,Verdugo,Almas corruptas,92,14,N
53,Beth Incontable,Verdugo,Castigos psicológicos,furioso,14,N
54,April Eterno,Analista Infernal,Recaudación,71,21,S
55,Destiny Devoraalmas,Analista Infernal,Contratos,95,15,S
56,Heidi Devoraalmas,Archidemonio,Castigos psicológicos,12,17,N
57,Sharon la Sombra,Íncubo,Contratos,73,15,N
58,William Eterno,Analista Infernal,Fuego,87,16,S
59,Darin Eterno,Íncubo,Almas corruptas,10,19,N
60,Henry Devoraalmas,Analista Infernal,Contratos,22,19,N
61,Tammy Eterno,Súcubo,Almas corruptas,43,21,S
62,Chelsea la Sombra,Analista Infernal,Fuego,71,19,N
63,Mark el Cruel,Súcubo,Recaudación,12,14,N
64,Luis Eterno,Analista Infernal,Fuego,77,17,N
65,Andrea Eterno,Súcubo,Recaudación,68,13,N
66,Jonathan la Sombra,Analista Infernal,Recaudación,26,21,S
67,Carrie el Cruel,Archidemonio,Recaudación,32,20,N
68,Mario Devoraalmas,Súcubo,Contratos,30,20,S
69,Carrie Eterno,Súcubo,,14,17,N
70,James Incontable,Archidemonio,Contratos,59,13,N
71,Amy Eterno,Archidemonio,Contratos,56,19,S
72,James el Cruel,Archidemonio,Recaudación,51,13,S
73,Chris Eterno,Archidemonio,Almas corruptas,14,17,S
74,Jerry Devoraalmas,Súcubo,,47,21,S
75,Reginald Devoraalmas,Analista Infernal,Recaudación,1,21,N
76,Rodney Incontable,Analista Infernal,Contratos,13,17,S
77,Courtney Devoraalmas,Súcubo,Castigos psicológicos,74,14,N
78,Heather Incontable,Analista Infernal,Recaudación,12,18,S
79,Nichole el Cruel,Analista Infernal,Fuego,49,18,S
80,Barbara el Cruel,Analista Infernal,Castigos psicológicos,71,12,S
81,Cynthia la Sombra,Íncubo,Recaudación,52,15,S
82,Sara Eterno,Íncubo,Recaudación,64,14,N
83,Dave Devoraalmas,Archidemonio,Castigos psicológicos,50,12,N
84,Roy Devoraalmas,Súcubo,Contratos,38,15,S
85,Christine el Cruel,Íncubo,,10,14,S
86,Heather el Cruel,Analista Infernal,Almas corruptas,52,19,S
87,Jeffrey el Cruel,Archidemonio,Castigos psicológicos,58,19,N
88,Kevin la Sombra,Súcubo,Contratos,49,17,S
89,Joseph Eterno,Íncubo,Contratos,35,16,S
90,Darryl Eterno,Analista Infernal,Recaudación,24,14,N
91,Robert Eterno,Súcubo,Fuego,85,18,S
92,Alexander Eterno,Analista Infernal,Almas corruptas,58,15,S
93,Jessica Devoraalmas,Súcubo,Fuego,46,17,S
94,Shawn Incontable,Súcubo,Almas corruptas,97,17,N
95,Margaret Incontable,Analista Infernal,Recaudación,33,20,N
96,Debra Incontable,Súcubo,Fuego,47,21,N
97,Rita la Sombra,Súcubo,Contratos,84,16,N
98,Gina Devoraalmas,Archidemonio,Almas corruptas,80,14,S
99,Allison el Cruel,Súcubo,Fuego,56,16,S
100,Patrick Devoraalmas,Íncubo,Almas corruptas,41,15,N
101,Matthew Devoraalmas,Íncubo,Recaudación,32,19,N
102,Patricia Incontable,Íncubo,Contratos,10,14,S
103,Jasmine Eterno,Analista Infernal,Fuego,47,13,N
104,Rachel Eterno,Archidemonio,Castigos psicológicos,49,17,N
105,Amanda Incontable,Archidemonio,,3,19,S
106,Faith Devoraalmas,Analista Infernal,Castigos psicológicos,76,15,N
107,Robert Eterno,Íncubo,Almas corruptas,97,18,S
108,Anthony la Sombra,Analista Infernal,Almas corruptas,18,19,N
109,Laura Devoraalmas,Verdugo,Fuego,50,16,S
110,Austin la Sombra,Analista Infernal,Contratos,4,16,N
111,Michael el Cruel,Íncubo,Recaudación,62,17,S
112,Alan Eterno,Archidemonio,Almas corruptas,57,12,S
113,Robert Devoraalmas,Analista Infernal,Contratos,95,18,S
114,Katherine el Cruel,Súcubo,Almas corruptas,36,14,S
115,Brian Eterno,Verdugo,Castigos psicológicos,33,12,S
116,Stephanie el Cruel,Verdugo,Contratos,99,19,S
117,Eric la Sombra,Verdugo,Recaudación,5,17,S
118,Michael Devoraalmas,Analista Infernal,Fuego,92,15,S
119,Timothy la Sombra,Súcubo,Recaudación,79,12,S
120,Erin Devoraalmas,Súcubo,Recaudación,85,20,S
121,Carrie Devoraalmas,Íncubo,Contratos,77,17,S
122,Sarah Eterno,Súcubo,Recaudación,45,19,N
123,Joyce Incontable,Verdugo,Castigos psicológicos,67,16,N
124,Jessica Devoraalmas,Súcubo,Castigos psicológicos,47,15,S
125,Marcus Devoraalmas,Analista Infernal,,1,15,N
126,Howard Devoraalmas,Verdugo,Contratos,83,13,S
127,Melissa el Cruel,Íncubo,Contratos,90,12,S
128,Kyle Incontable,Verdugo,Almas corruptas,36,15,S
129,Gregory el Cruel,Archidemonio,Castigos psicológicos,79,19,S
130,Katherine Eterno,Íncubo,Recaudación,73,19,S
131,Ralph Eterno,Analista Infernal,Recaudación,71,17,S
