id_tormento,id_alma,tipo_tormento,nivel_intensidad,duracion_horas,responsable_demonio,resultado_final
1,9904,Laberinto sin salida,7.0,276,284,Transferida
2,2308,Cámara de hielo,2.0,792,52,Reincidente
3,9987,Baño de lava,7.0,847,450,Reincidente
4,8251,Loop de reuniones,8.0,999,375,Transferida
5,5577,Loop de reuniones,8.0,469,79,Reincidente
6,3929,Baño de lava,5.0,587,351,Sobrevive
7,999,Baño de lava,7.0,772,226,Reincidente
8,6303,Cámara de hielo,5.0,962,369,Reincidente
9,1690,Loop de reuniones,1.0,89,137,Desintegrada
10,9690,Cámara de hielo,10.0,473,415,Transferida
11,2350,Laberinto sin salida,3.0,588,276,???
12,1055,Grito eterno,6.0,123,418,Desintegrada
13,9076,Loop de reuniones,4.0,121,273,Desintegrada
14,8560,Cámara de hielo,9.0,187,13,Reincidente
15,7930,Grito eterno,9.0,918,498,Transferida
16,776,Baño de lava,3.0,863,468,Sobrevive
17,4176,Grito eterno,10.0,18,263,Sobrevive
18,3824,Loop de reuniones,3.0,342,283,Transferida
19,5934,Cámara de hielo,6.0,880,370,Sobrevive
20,227,Grito eterno,5.0,616,379,Reincidente
21,4174,Loop de reuniones,3.0,714,438,Transferida
22,1271,Baño de lava,7.0,963,224,Sobrevive
23,6484,Baño de lava,10.0,119,269,Desintegrada
24,5769,Grito eterno,4.0,534,355,Sobrevive
25,7758,Laberinto sin salida,5.0,135,123,Sobrevive
26,5370,Laberinto sin salida,10.0,602,59,Desintegrada
27,5030,Laberinto sin salida,6.0,657,7,Transferida
28,8171,Grito eterno,9.0,204,445,Transferida
29,238,Baño de lava,1.0,687,213,Desintegrada
30,8596,Cámara de hielo,7.0,267,142,Reincidente
31,6290,Cámara de hielo,2.0,852,50,Transferida
32,9713,Grito eterno,6.0,336,30,Transferida
33,7521,Cámara de hielo,4.0,844,216,Desintegrada
34,7571,Loop de reuniones,4.0,417,15,Reincidente
35,2602,Grito eterno,5.0,515,20,Reincidente
36,3366,Loop de reuniones,1.0,908,144,Reincidente
37,6102,Grito eterno,1.0,471,306,Transferida
38,6799,Baño de lava,10.0,220,159,Desintegrada
39,8558,Cámara de hielo,1.0,203,470,Transferida
40,4278,Cámara de hielo,3.0,546,130,Transferida
41,6700,Grito eterno,2.0,705,17,Transferida
42,1821,Cámara de hielo,5.0,505,234,Desintegrada
43,5810,Cámara de hielo,5.0,707,148,Desintegrada
44,434,Cámara de hielo,7.0,815,190,Reincidente
45,8740,Laberinto sin salida,9.0,458,496,Reincidente
46,4783,Cámara de hielo,5.0,799,188,Reincidente
47,2869,Cámara de hielo,5.0,562,28,Desintegrada
48,5879,Loop de reuniones,9.0,783,322,Reincidente
49,2035,Baño de lava,8.0,835,217,Desintegrada
50,7458,Loop de reuniones,8.0,253,305,Sobrevive
51,595,Loop de reuniones,2.0,170,199,Reincidente
52,173,Grito eterno,8.0,887,194,Desintegrada
