id_tormento,id_alma,tipo_tormento,nivel_intensidad,duracion_horas,responsable_demonio,resultado_final
1,9904,Laberinto sin salida,7,276,284,Transferida
2,2308,Cámara de hielo,2,792,209,Reincidente
3,9987,Baño de lava,7,847,450,Reincidente
4,8251,Loop de reuniones,8,999,350,Transferida
5,5577,Loop de reuniones,8,469,79,Reincidente
6,3929,Baño de lava,5,587,351,Sobrevive
7,999,Baño de lava,7,772,226,Reincidente
8,6303,Cámara de hielo,5,962,186,Reincidente
9,1690,Loop de reuniones,1,89,137,Desintegrada
10,9690,Cámara de hielo,10,473,415,Transferida
11,2350,Laberinto sin salida,3,588,276,En proceso
12,1055,Grito eterno,6,123,418,Desintegrada
13,9076,Loop de reuniones,4,121,31,Desintegrada
14,8560,Cámara de hielo,9,187,13,Reincidente
15,7930,Grito eterno,9,918,217,Transferida
16,776,Baño de lava,3,863,468,Sobrevive
17,4176,Grito eterno,10,18,263,Sobrevive
18,3824,Loop de reuniones,3,342,283,Transferida
19,5934,Cámara de hielo,6,880,135,Sobrevive
20,227,Grito eterno,5,616,364,Reincidente
21,4174,Loop de reuniones,3,714,44,Transferida
22,1271,Baño de lava,7,963,224,Sobrevive
23,6484,Baño de lava,10,119,209,Desintegrada
24,5769,Grito eterno,4,534,237,Sobrevive
25,7758,Laberinto sin salida,5,135,420,Sobrevive
26,5370,Laberinto sin salida,10,602,426,Desintegrada
27,5030,Laberinto sin salida,6,657,142,Transferida
28,8171,Grito eterno,9,204,445,Transferida
29,238,Baño de lava,1,687,406,Desintegrada
30,8596,Cámara de hielo,7,267,142,Reincidente
31,6290,Cámara de hielo,2,852,50,Transferida
32,9713,Grito eterno,6,336,177,Transferida
33,7521,Cámara de hielo,4,844,230,Desintegrada
34,7571,Loop de reuniones,4,417,15,Reincidente
35,2602,Grito eterno,5,515,198,Reincidente
36,3366,Loop de reuniones,1,908,211,Reincidente
37,6102,Grito eterno,1,471,303,Transferida
38,6799,Baño de lava,10,220,159,Desintegrada
39,8558,Cámara de hielo,1,203,470,Transferida
40,4278,Cámara de hielo,3,546,130,Transferida
41,6700,Grito eterno,2,705,263,Transferida
42,1821,Cámara de hielo,5,505,234,Desintegrada
43,5810,Cámara de hielo,5,707,296,Desintegrada
44,434,Cámara de hielo,7,815,190,Reincidente
45,8740,Laberinto sin salida,9,458,496,Reincidente
46,4783,Cámara de hielo,5,799,188,Reincidente
47,2869,Cámara de hielo,5,562,109,Desintegrada
48,5879,Loop de reuniones,9,783,322,Reincidente
49,2035,Baño de lava,8,835,217,Desintegrada
50,7458,Loop de reuniones,8,253,2,Sobrevive
51,595,Loop de reuniones,2,170,177,Reincidente
52,173,Grito eterno,8,887,467,Desintegrada
53,3541,Laberinto sin salida,7,356,314,Sobrevive
54,4930,Grito eterno,1,356,80,Desintegrada
55,3559,Grito eterno,2,358,254,Transferida
56,1485,Laberinto sin salida,5,522,420,Desintegrada
57,2184,Laberinto sin salida,3,515,13,Transferida
58,5590,Grito eterno,1,325,58,Reincidente
60,532,Grito eterno,7,717,74,Transferida
61,9013,Baño de lava,6,651,81,Desintegrada
62,9561,Laberinto sin salida,2,685,372,Reincidente
63,1791,Laberinto sin salida,4,40,363,Desintegrada
64,6304,Cámara de hielo,2,309,218,Desintegrada
65,7769,Grito eterno,1,7,44,Desintegrada
66,638,Cámara de hielo,7,57,218,Desintegrada
67,2442,Laberinto sin salida,7,521,356,Sobrevive
68,2064,Baño de lava,8,908,166,Desintegrada
69,730,Grito eterno,4,698,317,Transferida
70,8015,Grito eterno,9,735,409,Sobrevive
71,223,Loop de reuniones,2,556,115,Reincidente
72,13,Baño de lava,2,506,45,Reincidente
73,6240,Loop de reuniones,6,16,432,Reincidente
74,2443,Loop de reuniones,2,375,467,Desintegrada
75,1617,Laberinto sin salida,8,375,475,Reincidente
76,2444,Laberinto sin salida,2,170,180,Transferida
77,2531,Laberinto sin salida,5,399,45,Reincidente
78,7356,Baño de lava,1,986,99,Transferida
79,2289,Grito eterno,4,313,439,Desintegrada
80,796,Cámara de hielo,7,677,116,Reincidente
81,3475,Laberinto sin salida,5,346,332,Reincidente
82,8262,Grito eterno,9,163,440,Sobrevive
83,6976,Loop de reuniones,6,626,363,Desintegrada
84,5629,Cámara de hielo,1,218,414,Transferida
85,590,Loop de reuniones,4,789,330,Transferida
86,8700,Baño de lava,3,783,31,Sobrevive
87,9967,Laberinto sin salida,2,209,13,Reincidente
